epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5529,2.64636,3.31686,1.67623,0.23556,0.38899,0.18028,0.04277,2.42372,3.04539,1.26391,0.00015,0.00015,0.08515
2,56.8019,2.51407,2.90962,1.47038,0.31333,0.51743,0.27924,0.07067,2.52802,2.89535,1.27476,0.000348845,0.000348845,0.0653488
3,64.226,2.26793,2.58936,1.30405,0.34667,0.57248,0.34459,0.09211,2.34538,2.80064,1.25349,0.00054637,0.00054637,0.0455464
4,72.8709,2.14263,2.30631,1.2188,0.34667,0.57248,0.34459,0.09211,2.34538,2.80064,1.25349,0.000742575,0.000742575,0.0257426
5,77.8927,2.04618,2.19557,1.24623,0.45444,0.75046,0.57533,0.17442,2.34298,2.53642,1.20539,0.00093746,0.00093746,0.00593746
6,83.5909,2.05403,2.08111,1.25506,0.45444,0.75046,0.57533,0.17442,2.34298,2.53642,1.20539,0.0009835,0.0009835,0.0009835
7,92.6713,2.04916,1.90885,1.1995,0.42222,0.69725,0.55023,0.1659,2.51375,2.19564,1.31158,0.0009802,0.0009802,0.0009802
8,97.4355,2.11845,1.83391,1.21154,0.42222,0.69725,0.55023,0.1659,2.51375,2.19564,1.31158,0.0009769,0.0009769,0.0009769
9,103.237,2.02596,1.74237,1.20722,0.68813,0.6367,0.57409,0.18775,2.36395,1.85484,1.2602,0.0009736,0.0009736,0.0009736
10,109.304,2.16582,1.6869,1.18637,0.68813,0.6367,0.57409,0.18775,2.36395,1.85484,1.2602,0.0009703,0.0009703,0.0009703
11,117.101,2.09943,1.63291,1.1974,0.69094,0.77248,0.72067,0.24717,2.13054,1.5598,1.16402,0.000967,0.000967,0.000967
12,129.808,2.10973,1.53234,1.15817,0.69094,0.77248,0.72067,0.24717,2.13054,1.5598,1.16402,0.0009637,0.0009637,0.0009637
13,137.482,2.05378,1.4922,1.16484,0.68762,0.80183,0.74465,0.29167,2.02783,1.26837,1.14509,0.0009604,0.0009604,0.0009604
14,145.152,2.09345,1.50481,1.18929,0.68762,0.80183,0.74465,0.29167,2.02783,1.26837,1.14509,0.0009571,0.0009571,0.0009571
15,150.794,2.10609,1.43543,1.188,0.70115,0.81362,0.78583,0.2839,2.12244,1.18682,1.16956,0.0009538,0.0009538,0.0009538
16,158.744,2.05552,1.38802,1.14042,0.70115,0.81362,0.78583,0.2839,2.12244,1.18682,1.16956,0.0009505,0.0009505,0.0009505
17,188.438,2.05976,1.49731,1.20189,0.73128,0.78395,0.74917,0.25346,2.27273,1.22967,1.2029,0.0009472,0.0009472,0.0009472
18,206.076,1.95549,1.30719,1.14312,0.73128,0.78395,0.74917,0.25346,2.27273,1.22967,1.2029,0.0009439,0.0009439,0.0009439
19,232.438,2.03071,1.26488,1.13481,0.78631,0.81468,0.79946,0.26988,2.26517,1.18108,1.19454,0.0009406,0.0009406,0.0009406
20,248.844,2.09873,1.37847,1.21798,0.78631,0.81468,0.79946,0.26988,2.26517,1.18108,1.19454,0.0009373,0.0009373,0.0009373
21,269.404,1.92354,1.2887,1.11975,0.78521,0.80493,0.79741,0.26597,2.26164,1.22811,1.18878,0.000934,0.000934,0.000934
22,295.826,2.04552,1.33156,1.16222,0.78521,0.80493,0.79741,0.26597,2.26164,1.22811,1.18878,0.0009307,0.0009307,0.0009307
23,316.648,1.93562,1.32774,1.15722,0.79533,0.81994,0.81334,0.28637,2.17132,1.2177,1.14982,0.0009274,0.0009274,0.0009274
24,332.017,1.9083,1.34867,1.18173,0.79533,0.81994,0.81334,0.28637,2.17132,1.2177,1.14982,0.0009241,0.0009241,0.0009241
25,349.399,1.85409,1.22098,1.13012,0.77831,0.80183,0.81582,0.30142,2.11129,1.20726,1.14126,0.0009208,0.0009208,0.0009208
26,368.513,2.02443,1.24637,1.16549,0.77831,0.80183,0.81582,0.30142,2.11129,1.20726,1.14126,0.0009175,0.0009175,0.0009175
27,389.485,1.98931,1.17747,1.16008,0.76322,0.81101,0.80758,0.31316,2.04146,1.21921,1.13026,0.0009142,0.0009142,0.0009142
28,409.909,1.93524,1.24296,1.17243,0.76322,0.81101,0.80758,0.31316,2.04146,1.21921,1.13026,0.0009109,0.0009109,0.0009109
29,434.652,1.8132,1.21524,1.14822,0.75659,0.8441,0.81852,0.33226,1.99883,1.18655,1.11785,0.0009076,0.0009076,0.0009076
30,467.39,1.92765,1.15475,1.15542,0.75659,0.8441,0.81852,0.33226,1.99883,1.18655,1.11785,0.0009043,0.0009043,0.0009043
31,482.386,1.94979,1.28294,1.16818,0.75858,0.86239,0.84332,0.3453,1.96533,1.12577,1.10144,0.000901,0.000901,0.000901
32,506.424,1.89692,1.18912,1.13543,0.75858,0.86239,0.84332,0.3453,1.96533,1.12577,1.10144,0.0008977,0.0008977,0.0008977
33,537.82,1.90045,1.14486,1.12564,0.79194,0.85321,0.85996,0.36,1.90742,1.08679,1.08356,0.0008944,0.0008944,0.0008944
34,557.551,1.80473,1.13855,1.13535,0.79194,0.85321,0.85996,0.36,1.90742,1.08679,1.08356,0.0008911,0.0008911,0.0008911
35,582.404,1.94963,1.07436,1.11966,0.77765,0.87706,0.84663,0.34604,1.93897,1.09784,1.08559,0.0008878,0.0008878,0.0008878
36,617.03,1.90565,1.1456,1.12197,0.77765,0.87706,0.84663,0.34604,1.93897,1.09784,1.08559,0.0008845,0.0008845,0.0008845
37,640.664,1.80937,1.06859,1.10558,0.78877,0.84276,0.83867,0.33107,1.98816,1.12214,1.09294,0.0008812,0.0008812,0.0008812
38,654.331,1.79794,1.11086,1.13456,0.78877,0.84276,0.83867,0.33107,1.98816,1.12214,1.09294,0.0008779,0.0008779,0.0008779
39,676.681,1.84676,1.09844,1.11755,0.77601,0.84771,0.83699,0.28581,2.16951,1.17852,1.1405,0.0008746,0.0008746,0.0008746
40,691.464,1.75647,1.0488,1.09247,0.77601,0.84771,0.83699,0.28581,2.16951,1.17852,1.1405,0.0008713,0.0008713,0.0008713
41,708.478,1.90246,1.08673,1.13214,0.76822,0.84404,0.82071,0.27158,2.21626,1.17058,1.1538,0.000868,0.000868,0.000868
42,727.634,1.91092,1.06447,1.11916,0.76822,0.84404,0.82071,0.27158,2.21626,1.17058,1.1538,0.0008647,0.0008647,0.0008647
43,750.758,1.87876,1.05725,1.11069,0.80223,0.87082,0.85711,0.31106,2.10088,1.09475,1.12492,0.0008614,0.0008614,0.0008614
44,769.109,1.90332,1.04579,1.12401,0.80223,0.87082,0.85711,0.31106,2.10088,1.09475,1.12492,0.0008581,0.0008581,0.0008581
45,784.091,1.79709,1.04446,1.10113,0.80834,0.87449,0.87557,0.36387,1.9461,1.01886,1.09126,0.0008548,0.0008548,0.0008548
46,799.594,1.77344,1.0664,1.101,0.80834,0.87449,0.87557,0.36387,1.9461,1.01886,1.09126,0.0008515,0.0008515,0.0008515
47,817.017,1.79643,1.02454,1.13569,0.82027,0.86255,0.87518,0.38572,1.88253,0.98084,1.07717,0.0008482,0.0008482,0.0008482
48,836.236,1.88249,1.12423,1.16644,0.82027,0.86255,0.87518,0.38572,1.88253,0.98084,1.07717,0.0008449,0.0008449,0.0008449
49,855.181,1.83392,1.02949,1.13853,0.85075,0.87339,0.89294,0.38277,1.91178,0.97265,1.08348,0.0008416,0.0008416,0.0008416
50,870.472,1.85667,1.05265,1.11003,0.85075,0.87339,0.89294,0.38277,1.91178,0.97265,1.08348,0.0008383,0.0008383,0.0008383
51,890.855,1.80793,1.03271,1.12291,0.84675,0.87156,0.89522,0.36929,1.98016,0.97446,1.09804,0.000835,0.000835,0.000835
52,910.104,1.73471,1.02953,1.12401,0.84675,0.87156,0.89522,0.36929,1.98016,0.97446,1.09804,0.0008317,0.0008317,0.0008317
53,924.171,1.87438,1.06858,1.15392,0.84214,0.88093,0.88975,0.3494,2.05944,0.97831,1.12296,0.0008284,0.0008284,0.0008284
54,938.559,1.86032,0.98789,1.10327,0.84214,0.88093,0.88975,0.3494,2.05944,0.97831,1.12296,0.0008251,0.0008251,0.0008251
55,962.527,1.77204,1.02876,1.10332,0.83917,0.88257,0.89134,0.3587,2.03835,0.97085,1.12225,0.0008218,0.0008218,0.0008218
56,981.814,1.85049,0.97286,1.1345,0.83917,0.88257,0.89134,0.3587,2.03835,0.97085,1.12225,0.0008185,0.0008185,0.0008185
57,1006.27,1.82751,1.02271,1.14211,0.85418,0.86606,0.90142,0.38282,1.96894,0.97272,1.10626,0.0008152,0.0008152,0.0008152
58,1028.18,1.70345,0.96829,1.11263,0.85418,0.86606,0.90142,0.38282,1.96894,0.97272,1.10626,0.0008119,0.0008119,0.0008119
59,1063.92,1.82491,0.97469,1.10742,0.85661,0.87706,0.90589,0.3791,1.95668,0.98189,1.09927,0.0008086,0.0008086,0.0008086
60,1087,1.76498,0.93794,1.08564,0.85661,0.87706,0.90589,0.3791,1.95668,0.98189,1.09927,0.0008053,0.0008053,0.0008053
61,1111.04,1.8736,0.95932,1.0986,0.83618,0.86789,0.8951,0.3816,1.91004,0.99124,1.07942,0.000802,0.000802,0.000802
62,1141.12,1.78064,0.95417,1.09872,0.83618,0.86789,0.8951,0.3816,1.91004,0.99124,1.07942,0.0007987,0.0007987,0.0007987
63,1161.74,1.71507,0.94934,1.07369,0.80462,0.86899,0.8741,0.37123,1.91949,1.03239,1.07666,0.0007954,0.0007954,0.0007954
64,1179.78,1.82904,0.95111,1.09586,0.80462,0.86899,0.8741,0.37123,1.91949,1.03239,1.07666,0.0007921,0.0007921,0.0007921
65,1204.18,1.7028,0.96301,1.06744,0.80482,0.87706,0.86961,0.37404,1.87611,1.0439,1.06295,0.0007888,0.0007888,0.0007888
66,1222.77,1.68506,0.92587,1.07704,0.80482,0.87706,0.86961,0.37404,1.87611,1.0439,1.06295,0.0007855,0.0007855,0.0007855
67,1241.5,1.77258,1.02517,1.10683,0.80768,0.87844,0.8773,0.37657,1.88341,1.0104,1.06147,0.0007822,0.0007822,0.0007822
68,1261.77,1.83686,1.00632,1.10879,0.80768,0.87844,0.8773,0.37657,1.88341,1.0104,1.06147,0.0007789,0.0007789,0.0007789
69,1286.35,1.71062,0.90336,1.08894,0.8459,0.86789,0.89631,0.38214,1.9298,0.97465,1.07359,0.0007756,0.0007756,0.0007756
70,1303.35,1.81734,0.97379,1.07364,0.8459,0.86789,0.89631,0.38214,1.9298,0.97465,1.07359,0.0007723,0.0007723,0.0007723
71,1324.99,1.86574,1.02092,1.13929,0.85005,0.88413,0.90868,0.37754,1.98037,0.96117,1.08941,0.000769,0.000769,0.000769
72,1341.21,1.77299,0.95836,1.10512,0.85005,0.88413,0.90868,0.37754,1.98037,0.96117,1.08941,0.0007657,0.0007657,0.0007657
73,1358.21,1.76872,0.98766,1.11136,0.86961,0.86886,0.913,0.36671,2.03274,0.95444,1.10555,0.0007624,0.0007624,0.0007624
74,1377.13,1.80342,0.99048,1.14152,0.86961,0.86886,0.913,0.36671,2.03274,0.95444,1.10555,0.0007591,0.0007591,0.0007591
75,1391.75,1.71502,0.91853,1.10218,0.85541,0.86841,0.89614,0.35217,2.06769,0.96816,1.11613,0.0007558,0.0007558,0.0007558
76,1406.91,1.75692,0.94236,1.11267,0.85541,0.86841,0.89614,0.35217,2.06769,0.96816,1.11613,0.0007525,0.0007525,0.0007525
77,1427.12,1.72091,0.92184,1.07998,0.84705,0.8536,0.88999,0.35154,2.04135,0.9796,1.108,0.0007492,0.0007492,0.0007492
78,1447.05,1.67567,0.92389,1.06669,0.84705,0.8536,0.88999,0.35154,2.04135,0.9796,1.108,0.0007459,0.0007459,0.0007459
79,1470.94,1.8214,0.96877,1.11359,0.861,0.8422,0.89414,0.37923,1.93248,0.9541,1.07809,0.0007426,0.0007426,0.0007426
80,1491.59,1.61327,0.88725,1.05644,0.861,0.8422,0.89414,0.37923,1.93248,0.9541,1.07809,0.0007393,0.0007393,0.0007393
81,1516.01,1.75346,0.93158,1.08617,0.87111,0.86805,0.91182,0.42123,1.80235,0.8921,1.0432,0.000736,0.000736,0.000736
82,1533.81,1.72659,0.90706,1.09389,0.87111,0.86805,0.91182,0.42123,1.80235,0.8921,1.0432,0.0007327,0.0007327,0.0007327
83,1551.39,1.68281,0.87797,1.06009,0.87105,0.89242,0.92402,0.43697,1.76181,0.86178,1.031,0.0007294,0.0007294,0.0007294
84,1570.76,1.67012,0.87053,1.0734,0.87105,0.89242,0.92402,0.43697,1.76181,0.86178,1.031,0.0007261,0.0007261,0.0007261
85,1590.15,1.70771,0.90748,1.08732,0.89749,0.8789,0.93136,0.43968,1.76483,0.85378,1.03428,0.0007228,0.0007228,0.0007228
86,1607.48,1.67536,0.84655,1.04609,0.89749,0.8789,0.93136,0.43968,1.76483,0.85378,1.03428,0.0007195,0.0007195,0.0007195
87,1633.39,1.69074,0.92815,1.10068,0.8994,0.88586,0.93567,0.43816,1.76879,0.8514,1.03911,0.0007162,0.0007162,0.0007162
88,1660.7,1.77452,0.89756,1.09617,0.8994,0.88586,0.93567,0.43816,1.76879,0.8514,1.03911,0.0007129,0.0007129,0.0007129
89,1684.96,1.71972,0.91619,1.10049,0.86471,0.90303,0.9278,0.42081,1.82227,0.85606,1.05525,0.0007096,0.0007096,0.0007096
90,1710.45,1.75675,0.92944,1.09075,0.86471,0.90303,0.9278,0.42081,1.82227,0.85606,1.05525,0.0007063,0.0007063,0.0007063
91,1752.85,1.71132,0.96435,1.08299,0.86598,0.88922,0.92732,0.41837,1.83429,0.8601,1.06204,0.000703,0.000703,0.000703
92,1773.29,1.73968,0.91956,1.12021,0.86598,0.88922,0.92732,0.41837,1.83429,0.8601,1.06204,0.0006997,0.0006997,0.0006997
93,1793.9,1.81007,0.93547,1.10503,0.86647,0.88991,0.92083,0.42022,1.82051,0.85716,1.06297,0.0006964,0.0006964,0.0006964
94,1810.85,1.69054,0.85772,1.07864,0.86647,0.88991,0.92083,0.42022,1.82051,0.85716,1.06297,0.0006931,0.0006931,0.0006931
95,1828.28,1.69363,0.86798,1.06351,0.87024,0.88991,0.91474,0.43078,1.78767,0.84474,1.05377,0.0006898,0.0006898,0.0006898
96,2033.04,1.64222,0.87643,1.06889,0.87024,0.88991,0.91474,0.43078,1.78767,0.84474,1.05377,0.0006865,0.0006865,0.0006865
97,2055.6,1.67045,0.90209,1.07629,0.86909,0.89908,0.92478,0.43613,1.80078,0.83357,1.04971,0.0006832,0.0006832,0.0006832
98,2077.31,1.7299,0.9162,1.08341,0.86909,0.89908,0.92478,0.43613,1.80078,0.83357,1.04971,0.0006799,0.0006799,0.0006799
99,2094.72,1.66574,0.85115,1.05487,0.88237,0.89541,0.93057,0.42931,1.81694,0.83201,1.04776,0.0006766,0.0006766,0.0006766
100,2117.71,1.74175,0.87547,1.088,0.88237,0.89541,0.93057,0.42931,1.81694,0.83201,1.04776,0.0006733,0.0006733,0.0006733
101,2139.19,1.7661,0.87146,1.03828,0.87928,0.88203,0.92181,0.42758,1.82015,0.83925,1.04454,0.00067,0.00067,0.00067
102,2165.05,1.77004,0.90869,1.08361,0.87928,0.88203,0.92181,0.42758,1.82015,0.83925,1.04454,0.0006667,0.0006667,0.0006667
103,2191.81,1.74053,0.92963,1.08732,0.87978,0.8844,0.92692,0.43603,1.77872,0.84148,1.03511,0.0006634,0.0006634,0.0006634
104,2206.08,1.70785,0.89212,1.07477,0.87978,0.8844,0.92692,0.43603,1.77872,0.84148,1.03511,0.0006601,0.0006601,0.0006601
105,2222.62,1.62837,0.84724,1.05967,0.86303,0.90092,0.93575,0.42444,1.80521,0.8528,1.04205,0.0006568,0.0006568,0.0006568
106,2239.39,1.70107,0.92034,1.05937,0.86303,0.90092,0.93575,0.42444,1.80521,0.8528,1.04205,0.0006535,0.0006535,0.0006535
107,2260.11,1.67328,0.85738,1.07475,0.88061,0.90642,0.93556,0.42322,1.81582,0.85727,1.04491,0.0006502,0.0006502,0.0006502
108,2271.85,1.61034,0.88536,1.07031,0.88061,0.90642,0.93556,0.42322,1.81582,0.85727,1.04491,0.0006469,0.0006469,0.0006469
109,2296,1.65601,0.86445,1.09701,0.86849,0.90881,0.92859,0.43243,1.79472,0.84196,1.0407,0.0006436,0.0006436,0.0006436
110,2310.01,1.52331,0.80456,1.03603,0.86849,0.90881,0.92859,0.43243,1.79472,0.84196,1.0407,0.0006403,0.0006403,0.0006403
111,2325.11,1.6346,0.9101,1.10153,0.86742,0.88835,0.92309,0.41786,1.82447,0.83727,1.04948,0.000637,0.000637,0.000637
